class,risk,usage_count,component,files,duplicate_group,merge_candidates
btn,HIGH,32,Button,"modal.css, styles.css",,
button-group,HIGH,28,ButtonGroup,"modal.css, analysis-lm.css, document.css, styles.css",,
btn-primary,LOW,26,PrimaryButton,"modal.css, styles.css",,
modal,HIGH,24,Modal,modal.css,,
modal-close,HIGH,23,ModalClose,modal.css,,
form-group,HIGH,22,FormGroup,"modal.css, analysis-lm.css, document.css",d7e1777d,analysis-lm-form
form-modal,HIGH,20,FormModal,modal.css,,
btn-secondary,LOW,9,SecondaryButton,"modal.css, styles.css",,
import-step,HIGH,7,ImportStep,modal.css,,
overlay,HIGH,6,Overlay,modal.css,,
selected-row,LOW,6,Modal,modal.css,,
note-text,HIGH,6,Unknown,modal.css,,
active,HIGH,6,StageNumber,"tabs.css, modal.css, document.css, styles.css",,
fa-spinner,HIGH,6,LoadingSpinner,styles.css,,
selected,HIGH,5,Unknown,"modal.css, document.css",,
error-message,HIGH,5,ErrorMessage,modal.css,,
worksheet-tabs-container,HIGH,4,WorksheetTabsContainer,modal.css,,
inline-error,HIGH,4,Modal,modal.css,,
info-icon,HIGH,4,InfoIcon,modal.css,,
progress-bar,HIGH,4,ProgressBar,"menu.css, modal.css, document.css",,
progress-text,HIGH,3,ProgressText,"menu.css, modal.css",,
selected-status,HIGH,3,SelectedStatus,document.css,,
status-dropdown-options,HIGH,3,Dropdown,document.css,,
status-dropdown-wrapper,HIGH,3,Dropdown,document.css,,
simple-modal,HIGH,3,SimpleModal,modal.css,,
right-scroll,HIGH,3,Unknown,document.css,,
left-scroll,HIGH,3,Unknown,document.css,,
tab-scroll-button,HIGH,3,TabScrollButton,"modal.css, document.css",,
modal-header,HIGH,3,ModalHeader,modal.css,,
grid-tabs-scroller,HIGH,3,GridTabsScroller,"modal.css, document.css",,
primary,LOW,3,Button,styles.css,,
file-upload-area,HIGH,2,Unknown,document.css,,
file-info,HIGH,2,Unknown,"modal.css, document.css",,
file-list,HIGH,2,FileList,document.css,,
selected-files-container,HIGH,2,SelectedFilesContainer,document.css,,
file-input-hidden,HIGH,2,Unknown,document.css,,
file-requirements,HIGH,2,Unknown,document.css,,
browse-text,LOW,2,Unknown,document.css,,
upload-instructions,HIGH,2,Unknown,document.css,,
import-grid-container,HIGH,2,ImportGridContainer,modal.css,,
preview-section,HIGH,2,PreviewSection,modal.css,,
file-name,HIGH,2,Unknown,"modal.css, document.css",,
status-option,HIGH,2,StatusOption,document.css,,
mapping-section,HIGH,2,MappingSection,modal.css,,
open,HIGH,2,Dropdown,document.css,,
no-data-message,HIGH,2,NoDataMessage,modal.css,2967cf77,no-sheets-message
tab-add-button,HIGH,2,TabAddButton,document.css,,
secondary,LOW,2,Button,styles.css,,
btn-danger,HIGH,2,DangerButton,styles.css,7e26614b,"btn-outline, btn-icon"
excel-tabs-wrapper,HIGH,2,ExcelTabsWrapper,document.css,,
file-icon,HIGH,2,Unknown,"modal.css, document.css",,
sheet-config-container,HIGH,2,SheetConfigContainer,modal.css,,
ro-grid-container,HIGH,2,RoGridContainer,modal.css,,
progress,HIGH,2,ProgressProgress,menu.css,,
modal-footer,HIGH,2,ModalFooter,modal.css,,
include-exclude-toggle,HIGH,2,IncludeExcludeToggle,modal.css,,
analysis-lm-form,HIGH,2,AnalysisLmForm,"analysis-lm.css, document.css",d7e1777d,form-group
jobs-table,HIGH,2,JobsTable,modal.css,,
preview-container,HIGH,2,PreviewContainer,modal.css,,
ro-grid-table,HIGH,2,RoGridTable,modal.css,,
excel-tabs-container,HIGH,2,ExcelTabsContainer,document.css,,
preview-summary-section,HIGH,2,PreviewSummarySection,modal.css,,
note-icon,HIGH,2,Unknown,modal.css,,
disabled,LOW,2,Modal,modal.css,,
btn-negative,LOW,2,NegativeButton,modal.css,,
col-header,LOW,2,ColHeader,modal.css,,
row-header,HIGH,2,RowHeader,modal.css,,
corner-header,HIGH,2,CornerHeader,modal.css,,
data-row,LOW,2,Unknown,modal.css,2c0305f6,above-start
mapped-column,LOW,2,Unknown,modal.css,,
empty-cell,LOW,2,Unknown,modal.css,,
refresh-btn,HIGH,2,Button,menu.css,,
no-row-selection,LOW,2,Unknown,modal.css,,
file-size,HIGH,2,Unknown,"modal.css, document.css",,
analysis-lm-form-container,HIGH,2,AnalysisLmFormContainer,analysis-lm.css,,
doc-meta,HIGH,2,DocMeta,document.css,,
completed,LOW,2,StageNumber,"menu.css, modal.css, document.css",,
status-failed,LOW,2,StatusFailed,document.css,,
doc-container,HIGH,2,DocumentContainer,document.css,,
rfp-form-container,HIGH,2,RfpFormContainer,document.css,,
status-started,LOW,2,StatusStarted,document.css,,
status-not-started,LOW,2,StatusNotStarted,document.css,,
progress-container,HIGH,2,ProgressContainer,"modal.css, document.css",,
status-indicator,HIGH,2,StatusIndicator,document.css,,
status-error,LOW,2,StatusError,document.css,,
status-completed,LOW,2,StatusCompleted,document.css,8e64eae0,doc-status
stage-separator,HIGH,2,StageSeparator,document.css,,
stage-number,HIGH,2,StageNumber,document.css,,
disabled-reason,HIGH,2,Unknown,document.css,,
stage-link,HIGH,2,StageNumber,document.css,,
breadcrumb-label,HIGH,2,BreadcrumbLabel,document.css,,
doc-footer,HIGH,2,DocumentFooter,document.css,,
doc-stage-breadcrumb,HIGH,2,DocumentStageBreadcrumb,document.css,,
doc-header,HIGH,2,DocumentHeader,document.css,,
meta-label,LOW,2,MetaLabel,document.css,,
meta-item,HIGH,2,MetaItem,document.css,,
doc-title-container,HIGH,2,DocumentTitle,document.css,,
doc-title,HIGH,2,DocumentTitle,document.css,,
edit-title-icon,LOW,2,DocumentTitle,document.css,,
status-and-controls,HIGH,2,StatusAndControls,document.css,,
status-processing,HIGH,2,StatusProcessing,document.css,,
ag-theme-alpine,HIGH,2,Unknown,document.css,4765c6eb,ag-icon
question-grid-container,HIGH,2,QuestionGridContainer,document.css,,
mapping-arrow,HIGH,1,Unknown,modal.css,,
import-note,HIGH,1,ImportNote,modal.css,,
results-summary-panel,HIGH,1,ResultsSummaryPanel,modal.css,,
status-icon,HIGH,1,StatusIcon,modal.css,,
login-link,HIGH,1,Unknown,styles.css,938bb7c0,"register-link, logout-link, username"
success-icon,LOW,1,SuccessIcon,modal.css,fcc8b037,success-stat
warning-icon,LOW,1,WarningIcon,modal.css,4202a473,warning-stat
register-link,HIGH,1,Unknown,styles.css,938bb7c0,"login-link, logout-link, username"
stats-container,HIGH,1,StatsContainer,modal.css,,
stat-item,HIGH,1,StatItem,modal.css,,
user-pill,HIGH,1,Unknown,styles.css,,
progress-stats,HIGH,1,ProgressStats,modal.css,,
stat-value,HIGH,1,StatValue,modal.css,,
stat-label,HIGH,1,StatLabel,modal.css,,
success-stat,LOW,1,SuccessStat,modal.css,fcc8b037,success-icon
